year,gross_advances,net_advances,gross_npa_amt,gnpa_pct_advances,gnpa_pct_assets,net_npa_amt,nnpa_pct_advances,nnpa_pct_assets,year_int,bank_group
1996-97,301698,276421,47300,15.7,7,22340,8.1,3.3,1996,All SCBs
1997-98,352696,325522,50815,14.4,6.4,23761,7.3,3,1997,All SCBs
1998-99,399436,367012,58722,14.7,6.2,28020,7.6,2.9,1998,All SCBs
1999-00,475113,444292,60408,12.7,5.5,30073,6.8,2.7,1999,All SCBs
2000-01,558766,526328,63741,11.4,4.9,32461,6.2,2.5,2000,All SCBs
2001-02,680958,645859,70861,10.4,4.6,35554,5.5,2.3,2001,All SCBs
2002-03,778043,740473,68717,8.8,4.1,29692,4,1.8,2002,All SCBs
2003-04,902026,862643,64812,7.2,3.3,24396,2.8,1.2,2003,All SCBs
2004-05,1167684,1150836,59373,5.1,2.5,21754,1.89028,0.9,2004,All SCBs
2005-06,1545730,1516811,51097,3.3,1.8,18543,1.2225,0.7,2005,All SCBs
2006-07,2007413,1981237,50487,2.5,1.5,20281,1.0236,0.6,2006,All SCBs
2007-08,2503431,2476936,56309,2.2,1.3,24730,0.99841,0.6,2007,All SCBs
2008-09,3037585.633,2999924,68328,2.2,1.3,31564,1.05216,0.6,2008,All SCBs
2009-10,3544999.891,3497054,84698,2.4,1.4,38723,1.11895,0.6,2009,All SCBs
2010-11,4357548,4298704,97973,2.2,1.4,41799,1,0.6,2010,All SCBs
2011-12,5158878,5073559,142903,2.8,1.7,65205,1.3,0.8,2011,All SCBs
2012-13,5988277,5879773,194053,3.2,2,98693,1.7,1,2012,All SCBs
2013-14,6875748,6735213,263362,3.8,2.4,142421,2.1,1.3,2013,All SCBs
2014-15,7559760,7388160,323335,4.3,2.7,175841,2.4,1.5,2014,All SCBs
2015-16,8173121,7896467,611947,7.5,4.7,349814,4.4,2.7,2015,All SCBs
2016-17,8492565,8116109,791791,9.3,5.6,433121,5.3,3.1,2016,All SCBs
2017-18,9266210,8745997,1039679,11.2,6.8,520838,6,3.4,2017,All SCBs
2018-19,10294463,9676183,936474,9.1,5.6,355068,3.7,2.1,2018,All SCBs
2019-20,10918918,10301897,899803,8.2,5,289370,2.8,1.6,2019,All SCBs
2020-21,11399608,10806381,835138,7.3,4.3,258050,2.4,1.3,2020,All SCBs
2021-22,12750005.88,12198767.37,743639.6871,5.832465,3.4,204230.9038,1.674193,0.9,2021,All SCBs
2022-23,14756637.36,14319352.43,571545.5407,3.873142,2.4,135319.7062,0.945013,0.6,2022,All SCBs
2023-24,17508589.83,17142339.56,480818.2938,2.746185,1.7,106732.3205,0.622624,0.4,2023,All SCBs
1996-97,244214,220922,43577,17.8,7.8,20285,9.2,3.6,1996,Public Sector
1997-98,284971,260459,45653,16,7,21232,8.2,3.3,1997,Public Sector
1998-99,325328,297789,51710,15.9,6.7,24211,8.1,3.1,1998,Public Sector
1999-00,379461,352714,53033,14,6,26187,7.4,2.9,1999,Public Sector
2000-01,442134,415207,54672,12.4,5.3,27977,6.7,2.7,2000,Public Sector
2001-02,509368,480681,56473,11.1,4.9,27958,5.8,2.4,2001,Public Sector
2002-03,577813,549351,54090,9.4,4.2,24877,4.5,1.9,2002,Public Sector
2003-04,661975,631383,51537,7.8,3.5,19335,3.1,1.3,2003,Public Sector
2004-05,870851,854214,48399,5.6,2.7,16904,1.98,1,2004,Public Sector
2005-06,1134724,1106288,41358,3.6,2.1,14566,1.3,0.7,2005,Public Sector
2006-07,1464495,1440146,38968,2.7,1.6,15325,1.1,0.6,2006,Public Sector
2007-08,1819074,1797401,40452,2.2,1.3,17836,1,0.6,2007,Public Sector
2008-09,2282825.292,2259212,44957,2,1.2,21155,0.9,0.6,2008,Public Sector
2009-10,2733458.145,2701300,59926,2.2,1.3,29375,1.09,0.7,2009,Public Sector
2010-11,3346450,3305632,74664,2.2,1.4,36055,1.1,0.7,2010,Public Sector
2011-12,3942732,3877308,117839,3,2,59391,1.5,1,2011,Public Sector
2012-13,4560169,4472845,165006,3.6,2.4,90037,2,1.3,2012,Public Sector
